amazon link,creator,format,retail price,title
0575073241,Richard Morgan,Paperback,£10.99,Broken Angels (Gollancz SF)
0575076526,Richard Morgan,Paperback,£6.99,Woken Furies (Gollancz)
B002MKLXFM,Sam Moskowitz,Mass Market Paperback,,The Microcosmic God and Other Stories from Modern Masterpieces of Science Fiction
0752893440,Kate Mosse,Paperback,£7.99,Sepulchre
0345423135,Katherine Neville,Paperback,£7.99,The Magic Circle
1841492221,Larry Niven,Paperback,£7.99,Ringworld's Children
0671795740,"Larry Niven; Jerry Pournelle",Mass Market Paperback,£5.25,The Gripping Hand
0552144797,Jeff Noon,Paperback,£6.99,Nymphomation
1862300917,Jeff Noon,Paperback,£9.99,Needle in the Groove
0330338811,Jeff Noon,Paperback,£6.99,Vurt
0552999709,Jeff Noon,Paperback,£6.99,Falling Out of Cars
1872372295,"Tuomas Pirinen; Talima Fox",Paperback,£12.00,Champions of Chaos
0552526495,Terry Pratchett,Paperback,£5.99,Wings (The Nome Trilogy)
0552145424,Terry Pratchett,Paperback,£6.99,Hogfather (Discworld)
0552149438,Terry Pratchett,Paperback,£6.99,Going Postal (Discworld)
0575073659,Alastair Reynolds,Paperback,£7.99,Chasm City (Gollancz SF S.)
0575068809,Alastair Reynolds,Paperback,£10.99,Redemption Ark (Gollancz SF)
0575075163,Alastair Reynolds,Paperback,£5.99,"Diamond Dogs, Turquoise Days: Tales from the Revelation Space Universe (Gollancz SF S.)"
0575075570,Alastair Reynolds,Paperback,£7.99,Absolution Gap (Gollancz SF S.)
0575076917,Alastair Reynolds,Paperback,£6.99,Century Rain (Gollancz SF)
0575078154,Alastair Reynolds,Paperback,£6.99,Pushing Ice (Gollancz SF)
0575082186,Alastair Reynolds,Paperback,$11.90,The Prefect
0575077174,Alastair Reynolds,Hardcover,£18.99,House of Suns
0575083123,Alastair Reynolds,Paperback,£7.99,Galactic North
0708860729,Anne Rice,Paperback,£7.99,The Queen of the Damned (Vampire Chronicles)
0099603713,Anne Rice,Paperback,£6.99,Memnoch The Devil
057507177X,Adam Roberts,Paperback,£10.99,On (Gollancz SF)
0575075414,Adam Roberts,Paperback,£6.99,Polystom
0575076518,Adam Roberts,Paperback,£6.99,The Snow
0586213899,Kim Stanley Robinson,Paperback,£7.99,Red Mars
0747532745,J. K. Rowling,Paperback,£6.99,Harry Potter and the Philosopher's Stone
0747538484,J. K. Rowling,Paperback,£5.99,Harry Potter and the Chamber of Secrets
